"행정구역","2023년03월_전월인구수_남자인구수","2023년03월_전월인구수_여자인구수","2023년03월_전월인구수_계","2023년03월_당월인구수_남자인구수","2023년03월_당월인구수_여자인구수","2023년03월_당월인구수_계","2023년03월_인구증감_남자인구수","2023년03월_인구증감_여자인구수","2023년03월_인구증감_계","2023년04월_전월인구수_남자인구수","2023년04월_전월인구수_여자인구수","2023년04월_전월인구수_계","2023년04월_당월인구수_남자인구수","2023년04월_당월인구수_여자인구수","2023년04월_당월인구수_계","2023년04월_인구증감_남자인구수","2023년04월_인구증감_여자인구수","2023년04월_인구증감_계","2023년05월_전월인구수_남자인구수","2023년05월_전월인구수_여자인구수","2023년05월_전월인구수_계","2023년05월_당월인구수_남자인구수","2023년05월_당월인구수_여자인구수","2023년05월_당월인구수_계","2023년05월_인구증감_남자인구수","2023년05월_인구증감_여자인구수","2023년05월_인구증감_계","2023년06월_전월인구수_남자인구수","2023년06월_전월인구수_여자인구수","2023년06월_전월인구수_계","2023년06월_당월인구수_남자인구수","2023년06월_당월인구수_여자인구수","2023년06월_당월인구수_계","2023년06월_인구증감_남자인구수","2023년06월_인구증감_여자인구수","2023년06월_인구증감_계","2023년07월_전월인구수_남자인구수","2023년07월_전월인구수_여자인구수","2023년07월_전월인구수_계","2023년07월_당월인구수_남자인구수","2023년07월_당월인구수_여자인구수","2023년07월_당월인구수_계","2023년07월_인구증감_남자인구수","2023년07월_인구증감_여자인구수","2023년07월_인구증감_계","2023년08월_전월인구수_남자인구수","2023년08월_전월인구수_여자인구수","2023년08월_전월인구수_계","2023년08월_당월인구수_남자인구수","2023년08월_당월인구수_여자인구수","2023년08월_당월인구수_계","2023년08월_인구증감_남자인구수","2023년08월_인구증감_여자인구수","2023년08월_인구증감_계","2023년09월_전월인구수_남자인구수","2023년09월_전월인구수_여자인구수","2023년09월_전월인구수_계","2023년09월_당월인구수_남자인구수","2023년09월_당월인구수_여자인구수","2023년09월_당월인구수_계","2023년09월_인구증감_남자인구수","2023년09월_인구증감_여자인구수","2023년09월_인구증감_계","2023년10월_전월인구수_남자인구수","2023년10월_전월인구수_여자인구수","2023년10월_전월인구수_계","2023년10월_당월인구수_남자인구수","2023년10월_당월인구수_여자인구수","2023년10월_당월인구수_계","2023년10월_인구증감_남자인구수","2023년10월_인구증감_여자인구수","2023년10월_인구증감_계","2023년11월_전월인구수_남자인구수","2023년11월_전월인구수_여자인구수","2023년11월_전월인구수_계","2023년11월_당월인구수_남자인구수","2023년11월_당월인구수_여자인구수","2023년11월_당월인구수_계","2023년11월_인구증감_남자인구수","2023년11월_인구증감_여자인구수","2023년11월_인구증감_계","2023년12월_전월인구수_남자인구수","2023년12월_전월인구수_여자인구수","2023년12월_전월인구수_계","2023년12월_당월인구수_남자인구수","2023년12월_당월인구수_여자인구수","2023년12월_당월인구수_계","2023년12월_인구증감_남자인구수","2023년12월_인구증감_여자인구수","2023년12월_인구증감_계","2024년01월_전월인구수_남자인구수","2024년01월_전월인구수_여자인구수","2024년01월_전월인구수_계","2024년01월_당월인구수_남자인구수","2024년01월_당월인구수_여자인구수","2024년01월_당월인구수_계","2024년01월_인구증감_남자인구수","2024년01월_인구증감_여자인구수","2024년01월_인구증감_계","2024년02월_전월인구수_남자인구수","2024년02월_전월인구수_여자인구수","2024년02월_전월인구수_계","2024년02월_당월인구수_남자인구수","2024년02월_당월인구수_여자인구수","2024년02월_당월인구수_계","2024년02월_인구증감_남자인구수","2024년02월_인구증감_여자인구수","2024년02월_인구증감_계","2024년03월_전월인구수_남자인구수","2024년03월_전월인구수_여자인구수","2024년03월_전월인구수_계","2024년03월_당월인구수_남자인구수","2024년03월_당월인구수_여자인구수","2024년03월_당월인구수_계","2024년03월_인구증감_남자인구수","2024년03월_인구증감_여자인구수","2024년03월_인구증감_계"
"경상북도 영주시 부석면(4721039000)","1,448","1,454","2,902","1,447","1,451","2,898","-1","-3","-4","1,447","1,451","2,898","1,437","1,445","2,882","-10","-6","-16","1,437","1,445","2,882","1,430","1,443","2,873","-7","-2","-9","1,430","1,443","2,873","1,426","1,440","2,866","-4","-3","-7","1,426","1,440","2,866","1,424","1,433","2,857","-2","-7","-9","1,424","1,433","2,857","1,423","1,437","2,860","-1","4","3","1,423","1,437","2,860","1,424","1,434","2,858","1","-3","-2","1,424","1,434","2,858","1,421","1,429","2,850","-3","-5","-8","1,421","1,429","2,850","1,419","1,426","2,845","-2","-3","-5","1,419","1,426","2,845","1,415","1,431","2,846","-4","5","1","1,415","1,431","2,846","1,424","1,431","2,855","9","0","9","1,424","1,431","2,855","1,427","1,433","2,860","3","2","5","1,427","1,433","2,860","1,418","1,428","2,846","-9","-5","-14"
"경상북도 영주시 상망동(4721051000)","3,615","3,650","7,265","3,601","3,650","7,251","-14","0","-14","3,601","3,650","7,251","3,605","3,655","7,260","4","5","9","3,605","3,655","7,260","3,607","3,640","7,247","2","-15","-13","3,607","3,640","7,247","3,601","3,636","7,237","-6","-4","-10","3,601","3,636","7,237","3,595","3,634","7,229","-6","-2","-8","3,595","3,634","7,229","3,582","3,616","7,198","-13","-18","-31","3,582","3,616","7,198","3,581","3,628","7,209","-1","12","11","3,581","3,628","7,209","3,580","3,614","7,194","-1","-14","-15","3,580","3,614","7,194","3,579","3,619","7,198","-1","5","4","3,579","3,619","7,198","3,573","3,628","7,201","-6","9","3","3,573","3,628","7,201","3,561","3,622","7,183","-12","-6","-18","3,561","3,622","7,183","3,555","3,626","7,181","-6","4","-2","3,555","3,626","7,181","3,546","3,628","7,174","-9","2","-7"
"경상북도 영주시 하망동(4721052500)","2,740","3,062","5,802","2,758","3,055","5,813","18","-7","11","2,758","3,055","5,813","2,762","3,051","5,813","4","-4","0","2,762","3,051","5,813","2,764","3,049","5,813","2","-2","0","2,764","3,049","5,813","2,742","3,028","5,770","-22","-21","-43","2,742","3,028","5,770","2,744","3,030","5,774","2","2","4","2,744","3,030","5,774","2,745","3,030","5,775","1","0","1","2,745","3,030","5,775","2,749","3,026","5,775","4","-4","0","2,749","3,026","5,775","2,751","3,033","5,784","2","7","9","2,751","3,033","5,784","2,768","3,029","5,797","17","-4","13","2,768","3,029","5,797","2,787","3,038","5,825","19","9","28","2,787","3,038","5,825","2,784","3,019","5,803","-3","-19","-22","2,784","3,019","5,803","2,799","3,025","5,824","15","6","21","2,799","3,025","5,824","2,811","3,043","5,854","12","18","30"
"경상북도 영주시 영주1동(4721055000)","1,837","1,915","3,752","1,829","1,903","3,732","-8","-12","-20","1,829","1,903","3,732","1,822","1,892","3,714","-7","-11","-18","1,822","1,892","3,714","1,807","1,886","3,693","-15","-6","-21","1,807","1,886","3,693","1,804","1,880","3,684","-3","-6","-9","1,804","1,880","3,684","1,795","1,867","3,662","-9","-13","-22","1,795","1,867","3,662","1,789","1,861","3,650","-6","-6","-12","1,789","1,861","3,650","1,793","1,855","3,648","4","-6","-2","1,793","1,855","3,648","1,800","1,852","3,652","7","-3","4","1,800","1,852","3,652","1,790","1,844","3,634","-10","-8","-18","1,790","1,844","3,634","1,792","1,846","3,638","2","2","4","1,792","1,846","3,638","1,776","1,842","3,618","-16","-4","-20","1,776","1,842","3,618","1,770","1,831","3,601","-6","-11","-17","1,770","1,831","3,601","1,772","1,831","3,603","2","0","2"
"경상북도 영주시 영주2동(4721056000)","2,265","2,449","4,714","2,252","2,434","4,686","-13","-15","-28","2,252","2,434","4,686","2,246","2,428","4,674","-6","-6","-12","2,246","2,428","4,674","2,237","2,420","4,657","-9","-8","-17","2,237","2,420","4,657","2,232","2,414","4,646","-5","-6","-11","2,232","2,414","4,646","2,234","2,408","4,642","2","-6","-4","2,234","2,408","4,642","2,234","2,405","4,639","0","-3","-3","2,234","2,405","4,639","2,220","2,414","4,634","-14","9","-5","2,220","2,414","4,634","2,212","2,413","4,625","-8","-1","-9","2,212","2,413","4,625","2,210","2,412","4,622","-2","-1","-3","2,210","2,412","4,622","2,207","2,410","4,617","-3","-2","-5","2,207","2,410","4,617","2,194","2,409","4,603","-13","-1","-14","2,194","2,409","4,603","2,184","2,406","4,590","-10","-3","-13","2,184","2,406","4,590","2,184","2,400","4,584","0","-6","-6"
"경상북도 영주시 휴천1동(4721059000)","3,144","3,206","6,350","3,122","3,179","6,301","-22","-27","-49","3,122","3,179","6,301","3,117","3,185","6,302","-5","6","1","3,117","3,185","6,302","3,106","3,174","6,280","-11","-11","-22","3,106","3,174","6,280","3,103","3,151","6,254","-3","-23","-26","3,103","3,151","6,254","3,104","3,145","6,249","1","-6","-5","3,104","3,145","6,249","3,090","3,138","6,228","-14","-7","-21","3,090","3,138","6,228","3,087","3,131","6,218","-3","-7","-10","3,087","3,131","6,218","3,102","3,159","6,261","15","28","43","3,102","3,159","6,261","3,097","3,158","6,255","-5","-1","-6","3,097","3,158","6,255","3,110","3,173","6,283","13","15","28","3,110","3,173","6,283","3,106","3,169","6,275","-4","-4","-8","3,106","3,169","6,275","3,099","3,155","6,254","-7","-14","-21","3,099","3,155","6,254","3,098","3,148","6,246","-1","-7","-8"
"경상북도 영주시 휴천2동(4721060000)","4,728","4,814","9,542","4,821","4,924","9,745","93","110","203","4,821","4,924","9,745","4,816","4,921","9,737","-5","-3","-8","4,816","4,921","9,737","4,790","4,913","9,703","-26","-8","-34","4,790","4,913","9,703","4,791","4,938","9,729","1","25","26","4,791","4,938","9,729","4,771","4,924","9,695","-20","-14","-34","4,771","4,924","9,695","4,730","4,900","9,630","-41","-24","-65","4,730","4,900","9,630","4,733","4,883","9,616","3","-17","-14","4,733","4,883","9,616","4,743","4,895","9,638","10","12","22","4,743","4,895","9,638","4,749","4,907","9,656","6","12","18","4,749","4,907","9,656","4,757","4,899","9,656","8","-8","0","4,757","4,899","9,656","4,720","4,890","9,610","-37","-9","-46","4,720","4,890","9,610","4,702","4,877","9,579","-18","-13","-31","4,702","4,877","9,579","4,755","4,943","9,698","53","66","119"
"경상북도 영주시 휴천3동(4721061000)","3,610","3,780","7,390","3,599","3,776","7,375","-11","-4","-15","3,599","3,776","7,375","3,580","3,767","7,347","-19","-9","-28","3,580","3,767","7,347","3,588","3,756","7,344","8","-11","-3","3,588","3,756","7,344","3,595","3,755","7,350","7","-1","6","3,595","3,755","7,350","3,585","3,749","7,334","-10","-6","-16","3,585","3,749","7,334","3,589","3,758","7,347","4","9","13","3,589","3,758","7,347","3,575","3,757","7,332","-14","-1","-15","3,575","3,757","7,332","3,570","3,758","7,328","-5","1","-4","3,570","3,758","7,328","3,565","3,745","7,310","-5","-13","-18","3,565","3,745","7,310","3,547","3,736","7,283","-18","-9","-27","3,547","3,736","7,283","3,540","3,723","7,263","-7","-13","-20","3,540","3,723","7,263","3,540","3,719","7,259","0","-4","-4","3,540","3,719","7,259","3,527","3,702","7,229","-13","-17","-30"
"경상북도 영주시 가흥1동(4721062000)","7,725","7,685","15,410","7,727","7,688","15,415","2","3","5","7,727","7,688","15,415","7,732","7,678","15,410","5","-10","-5","7,732","7,678","15,410","7,750","7,675","15,425","18","-3","15","7,750","7,675","15,425","7,736","7,667","15,403","-14","-8","-22","7,736","7,667","15,403","7,721","7,676","15,397","-15","9","-6","7,721","7,676","15,397","7,739","7,685","15,424","18","9","27","7,739","7,685","15,424","7,721","7,660","15,381","-18","-25","-43","7,721","7,660","15,381","7,767","7,637","15,404","46","-23","23","7,767","7,637","15,404","7,794","7,675","15,469","27","38","65","7,794","7,675","15,469","7,777","7,671","15,448","-17","-4","-21","7,777","7,671","15,448","7,774","7,665","15,439","-3","-6","-9","7,774","7,665","15,439","7,755","7,660","15,415","-19","-5","-24","7,755","7,660","15,415","7,741","7,667","15,408","-14","7","-7"
"경상북도 영주시 가흥2동(4721063000)","4,998","5,202","10,200","5,021","5,219","10,240","23","17","40","5,021","5,219","10,240","5,017","5,219","10,236","-4","0","-4","5,017","5,219","10,236","5,018","5,219","10,237","1","0","1","5,018","5,219","10,237","5,015","5,214","10,229","-3","-5","-8","5,015","5,214","10,229","5,028","5,218","10,246","13","4","17","5,028","5,218","10,246","5,021","5,212","10,233","-7","-6","-13","5,021","5,212","10,233","5,008","5,209","10,217","-13","-3","-16","5,008","5,209","10,217","5,004","5,228","10,232","-4","19","15","5,004","5,228","10,232","4,996","5,239","10,235","-8","11","3","4,996","5,239","10,235","5,000","5,240","10,240","4","1","5","5,000","5,240","10,240","5,019","5,245","10,264","19","5","24","5,019","5,245","10,264","5,008","5,221","10,229","-11","-24","-35","5,008","5,221","10,229","5,023","5,225","10,248","15","4","19"
